,HBCU,INSTNM,BBRR4_FED_PELL_DFLT,BBRR4_FED_PELL_PAIDINFULL,PELL_DEBT_MDN,COSTT4_A,ADM_RATE,C150_4_PELL,RET_FT4,MD_EARN_WNE_P6
0,1.0,Alabama A & M University,0.20-0.24,<=0.05,18250.0,23167.0,0.684,0.2465,0.5928,27851.0
1,0.0,University of Alabama at Birmingham,0.07,0.09,18000.0,26257.0,0.8668,0.5593,0.8243,46572.0
2,0.0,Amridge University,<=0.20,<=0.20,13625.0,,,,,30377.0
3,0.0,University of Alabama in Huntsville,0.07-0.08,0.11-0.12,16250.0,25777.0,0.781,0.5041,0.8018,55610.0
4,1.0,Alabama State University,0.20-0.24,<=0.05,18236.0,21900.0,0.966,0.265,0.596,27453.0
5,0.0,The University of Alabama,0.07,0.09,19500.0,31024.0,0.8006,0.5893,0.8668,52233.0
6,0.0,Central Alabama Community College,0.20-0.29,<=0.10,5930.0,14041.0,,,,30739.0
7,0.0,Athens State University,0.05-0.09,0.05-0.09,15849.0,,,,,46266.0
8,0.0,Auburn University at Montgomery,0.11-0.12,0.05-0.06,14000.0,19771.0,0.9223,0.348,0.7016,38216.0
9,0.0,Auburn University,0.05,0.14,20000.0,33650.0,0.4374,0.7067,0.9261,54629.0
10,0.0,Birmingham-Southern College,0.05-0.09,0.05-0.09,17500.0,35495.0,0.5717,0.5952,0.7746,45229.0
11,0.0,Chattahoochee Valley Community College,<=0.20,<=0.20,6697.0,9320.0,,,,32196.0
12,0.0,South University-Montgomery,0.16,0.04,13324.0,32195.0,,0.0556,0.1667,34115.0
13,0.0,Enterprise State Community College,0.20-0.29,<=0.10,5500.0,9452.0,,,,32883.0
14,0.0,Coastal Alabama Community College,0.15-0.19,0.05-0.09,6125.0,14446.0,,,,30808.0
15,0.0,Faulkner University,0.10-0.14,<=0.05,16000.0,36169.0,0.8241,0.2174,0.6316,37313.0
16,1.0,Gadsden State Community College,PS,PS,,10613.0,,,,29795.0
17,0.0,New Beginning College of Cosmetology,PS,PS,,,,,,15833.0
18,0.0,George C Wallace Community College-Dothan,PS,PS,,8592.0,,,,28431.0
19,0.0,George C Wallace State Community College-Hanceville,0.15-0.19,0.05-0.09,8250.0,15488.0,,,,36129.0
20,0.0,George C Wallace State Community College-Selma,PS,PS,,9195.0,,,,25214.0
21,0.0,Herzing University-Birmingham,0.15-0.16,0.03-0.04,11122.0,28152.0,0.9412,0.3333,0.5,35295.0
22,0.0,Huntingdon College,0.10-0.14,0.05-0.09,23000.0,39717.0,0.6595,0.4595,0.648,42147.0
23,0.0,Heritage Christian University,PS,PS,,17810.0,1.0,,1.0,
24,1.0,J. F. Drake State Community and Technical College,PS,PS,,12078.0,,,,27211.0
25,0.0,J F Ingram State Technical College,PS,PS,,6084.0,,,,
26,0.0,Jacksonville State University,0.11-0.12,0.05-0.06,15125.0,22153.0,0.7846,0.4253,0.6566,40158.0
27,0.0,Jefferson State Community College,0.15-0.16,0.09-0.10,4406.0,14677.0,,,,35502.0
