Unnamed: 0,UNITID,OPEID,OPEID6,INSTNM,CITY,STABBR,MAIN,NUMBRANCH,PREDDEG,HIGHDEG,CONTROL,REGION,LATITUDE,LONGITUDE,CCUGPROF,CCSIZSET,HBCU,PBI,ANNHI,TRIBAL,AANAPII,HSI,NANTI,MENONLY,WOMENONLY,RELAFFIL,ADM_RATE,ADM_RATE_ALL,SAT_AVG,SAT_AVG_ALL,DISTANCEONLY,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,PPTUG_EF,CURROPER,NPT4_PUB,NPT4_PRIV,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,NPT45_PUB,NPT41_PRIV,NPT42_PRIV,NPT43_PRIV,NPT44_PRIV,NPT45_PRIV,NUM4_PUB,NUM4_PRIV,NUM41_PUB,NUM42_PUB,NUM43_PUB,NUM44_PUB,NUM45_PUB,NUM41_PRIV,NUM42_PRIV,NUM43_PRIV,NUM44_PRIV,NUM45_PRIV,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,TUITFTE,INEXPFTE,AVGFACSAL,PFTFAC,PCTPELL,C150_4,C150_L4,C150_4_WHITE,C150_4_BLACK,C150_4_HISP,C150_4_ASIAN,C150_4_AIAN,C150_4_NHPI,C150_4_2MOR,C150_4_NRA,C150_4_UNKN,C150_L4_WHITE,C150_L4_BLACK,C150_L4_HISP,C150_L4_ASIAN,C150_L4_AIAN,C150_L4_NHPI,C150_L4_2MOR,C150_L4_NRA,C150_L4_UNKN,RET_FT4,RET_FTL4,RET_PT4,RET_PTL4,PCTFLOAN,INC_PCT_LO,DEP_STAT_PCT_IND,DEP_INC_PCT_LO,IND_INC_PCT_LO,PAR_ED_PCT_1STGEN,INC_PCT_M1,INC_PCT_M2,INC_PCT_H1,INC_PCT_H2,DEP_INC_PCT_M1,DEP_INC_PCT_M2,DEP_INC_PCT_H1,DEP_INC_PCT_H2,IND_INC_PCT_M1,IND_INC_PCT_M2,IND_INC_PCT_H1,IND_INC_PCT_H2,PAR_ED_PCT_MS,PAR_ED_PCT_HS,PAR_ED_PCT_PS,DEP_INC_AVG,IND_INC_AVG,DEBT_MDN,GRAD_DEBT_MDN,WDRAW_DEBT_MDN,LO_INC_DEBT_MDN,MD_INC_DEBT_MDN,HI_INC_DEBT_MDN,DEP_DEBT_MDN,IND_DEBT_MDN,PELL_DEBT_MDN,NOPELL_DEBT_MDN,FEMALE_DEBT_MDN,MALE_DEBT_MDN,FIRSTGEN_DEBT_MDN,NOTFIRSTGEN_DEBT_MDN,DEBT_N,GRAD_DEBT_N,WDRAW_DEBT_N,LO_INC_DEBT_N,MD_INC_DEBT_N,HI_INC_DEBT_N,DEP_DEBT_N,IND_DEBT_N,PELL_DEBT_N,NOPELL_DEBT_N,FEMALE_DEBT_N,MALE_DEBT_N,FIRSTGEN_DEBT_N,NOTFIRSTGEN_DEBT_N,INC_N,DEP_INC_N,IND_INC_N,LOAN_EVER,PELL_EVER,AGE_ENTRY,AGEGE24,FEMALE,MARRIED,DEPENDENT,VETERAN,FIRST_GEN,FAMINC,MD_FAMINC,FAMINC_IND,LNFAMINC,LNFAMINC_IND,PCT_WHITE,PCT_BLACK,PCT_ASIAN,PCT_HISPANIC,PCT_BA,PCT_GRAD_PROF,PCT_BORN_US,MEDIAN_HH_INC,POVERTY_RATE,UNEMP_RATE,LN_MEDIAN_HH_INC,COUNT_NWNE_P10,COUNT_WNE_P10,MN_EARN_WNE_P10,MD_EARN_WNE_P10,COUNT_WNE_INC1_P10,COUNT_WNE_INC2_P10,COUNT_WNE_INC3_P10,COUNT_WNE_MALE0_P10,COUNT_WNE_MALE1_P10,MN_EARN_WNE_MALE0_P10,MN_EARN_WNE_MALE1_P10,ALIAS,C100_4,C100_L4,TRANS_4,TRANS_L4,ICLEVEL,UGDS_MEN,UGDS_WOMEN,OPENADMP,GRADS,C150_4_PELL,C150_L4_PELL,C150_4_LOANNOPELL,C150_L4_LOANNOPELL,C150_4_NOLOANNOPELL,C150_L4_NOLOANNOPELL,FTFTPCTPELL,FTFTPCTFLOAN,SCUGFFN,ROOMBOARD_ON,ROOMBOARD_OFF,ENDOWBEGIN,ENDOWEND,ADMCON7,MDCOMP_PD,MDCOST_PD,MDEARN_PD,COUNT_NWNE_1YR,COUNT_WNE_1YR,MD_EARN_WNE_INDEP1_P10,MD_EARN_WNE_INDEP0_P10,MD_EARN_WNE_MALE0_P10,MD_EARN_WNE_MALE1_P10,STUFACR,IRPS_2MOR,IRPS_AIAN,IRPS_ASIAN,IRPS_BLACK,IRPS_HISP,IRPS_NHPI,IRPS_NRA,IRPS_UNKN,IRPS_WHITE,IRPS_MEN,MD_EARN_WNE_1YR,CONTROL_PEPS
0,100654,100200.0,1002.0,Alabama A & M University,Normal,AL,1,1,3,4,1,5,34.783368,-86.568502,10.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.684,0.68395643875603,920.0,920.0,0.0,5196.0,0.0198,0.8955,0.011,0.0019,0.0025,0.0015,0.0127,0.0115,0.0435,0.0778,1,14982.0,,14205.0,14526.0,16532.0,20139.0,17539.0,,,,,,567.0,,311.0,143.0,57.0,29.0,27.0,,,,,,23167.0,,10024.0,18634.0,10673.0,7073.0,8651.0,0.7056,0.6536,0.2678,,0.2353,0.2665,0.4667,0.0,0.5,0.0,0.2235,1.0,0.0,,,,,,,,,,0.5928,,0.25,,0.5351,0.6020087884,0.0988700565,0.5691396726,0.9015873016,0.3658280922,0.1898932831,0.1051475204,0.0621468927,0.0408035154,0.2034134448,PS,PS,PS,0.0666666667,PS,PS,PS,0.0164220825,0.3494060098,0.6341719078,34779.085684,10340.346032,16600,31000,10500,17500,16000,15000,16057,20000,18250,10500,18216,15000,16500,17275,3575,1159,2416,2097,1076,402,3272,303,3147,428,2169,1406,2878,697,3186,2871,315,0.8860640301,0.8527934714,20.283741368,0.07999999821186,0.5640301318,0.0091023227,0.9011299435,0.003138732,0.3658280922,32362.826114,23553,10340.346032,,,46.8400001525878,47.9799995422363,1.48000001907348,3.78999996185302,13,6.8600001335144,94.7399978637695,49720.22,14.8800001144409,4.84000015258789,10.75,211.0,1727.0,35500,40628.0,1024.0,487.0,216.0,833.0,893.0,32600,38500,AAMU,0.1268,,0.3419,,1,0.4055,0.5945,2.0,801.0,0.2465,,0.3902,,0.2898,,0.674,0.5039,1417.0,9520.0,9520.0,,,5.0,0.5817,19518.5,53747.0,30.0,604.0,39198.0,41002.0,39867.0,41377.0,19.0,0.1635,0.0,0.1483,0.6654,0.0,0.0076,0.0,0.0076,0.0076,0.5133,35983.0,Public
1,100663,105200.0,1052.0,University of Alabama at Birmingham,Birmingham,AL,1,1,3,4,1,5,33.505697,-86.799345,9.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.8668,0.86679400824369,1291.0,1291.0,0.0,12776.0,0.513,0.2528,0.0711,0.0819,0.0016,0.0005,0.0491,0.0237,0.0064,0.1986,1,16755.0,,14620.0,15130.0,17379.0,20045.0,19342.0,,,,,,1264.0,,426.0,222.0,217.0,145.0,254.0,,,,,,26257.0,,8832.0,21216.0,11549.0,15256.0,11837.0,0.7533,0.3308,0.6442,,0.6565,0.574,0.5294,0.8224,0.5455,1.0,0.6569,0.6279,0.6667,,,,,,,,,,0.8243,,0.537,,0.4132,0.4276131917,0.3214086082,0.3487095003,0.5942028986,0.341223671,0.1798024967,0.1423514067,0.114589156,0.1356437488,0.1699615596,0.1537616694,0.142778693,0.1847885777,0.2005797101,0.1182608696,0.0550724638,0.031884058,0.0222668004,0.3189568706,0.658776329,61110.800384,30607.18029,15832,22300,10204,16666,15985,15000,15250,16944,18000,12500,16183,15248,16250,15188,7395,3855,3540,2965,2239,2191,5321,2074,4693,2702,4928,2467,5163,2232,5367,3642,1725,0.8574622694,0.6249301286,23.60797466,0.25999999046325,0.6390907397,0.1050866406,0.6785913918,0.0031675051,0.341223671,51306.674306,34489,30607.18029,,,69.0199966430664,27.7600002288818,1.10000002384185,2.02999997138977,15.9300003051757,8.55000019073486,96.5,55735.22,10.9099998474121,3.45000004768371,10.8599996566772,396.0,3625.0,48400,54501.0,1555.0,1171.0,899.0,2181.0,1444.0,43200,57400,UAB,0.4445,,0.1527,,1,0.3752,0.6248,2.0,8607.0,0.5593,,0.6015,,0.7305,,0.3829,0.482,2361.0,13120.0,14330.0,711616804.0,673320170.0,5.0,0.5817,19518.5,53747.0,142.0,2980.0,58020.0,52516.0,50753.0,61246.0,18.0,0.009,0.003,0.1602,0.0644,0.0341,0.0007,0.0498,0.0015,0.6773,0.5414,48854.0,Public
2,100690,2503400.0,25034.0,Amridge University,Montgomery,AL,1,1,3,4,2,5,32.362609,-86.17401,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,,,,,1.0,228.0,0.2851,0.6623,0.0307,0.0,0.0044,0.0044,0.0,0.0,0.0132,0.4342,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16987.0,5927.0,4134.0,1.0,0.7769,0.5,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,0.5896,0.7736486486,0.8952702703,PS,PS,0.5125,0.1148648649,0.0641891892,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,0.05,0.4625,0.4875,25211.032258,20596.158491,13385,32189,10500,12875,18803,19917,9166,14250,13625,9500,13385,12901,13453,12250,457,106,351,371,62,24,47,410,413,44,313,144,401,56,296,31,265,0.9560810811,0.8648648649,33.672297297,0.82999998331069,0.6486486486,0.2364864865,0.1047297297,0.0405405405,0.5125,21079.472973,15033.5,20596.158491,,,70.8799972534179,22.5300006866455,1.28999996185302,6.94000005722046,13.2299995422363,7.01000022888183,94.0899963378906,53683.7,10.6499996185302,3.59999990463256,10.8400001525878,44.0,209.0,47600,37621.0,,,,126.0,83.0,38700,56000,Southern Christian University  Regions University,0.5,,0.5,,1,0.364,0.636,1.0,419.0,,,0.5,,,,,,0.0,,,174817.0,174819.0,,0.5817,19518.5,53747.0,2.0,25.0,37165.0,45491.0,32555.0,47595.0,12.0,0.0,0.0,0.0,0.0313,0.0,0.0,0.0,0.0,0.9688,0.8438,43600.0,Private Nonprofit
3,100706,105500.0,1055.0,University of Alabama in Huntsville,Huntsville,AL,1,1,3,4,1,5,34.724557,-86.640449,15.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.781,0.78104282386669,1259.0,1259.0,0.0,6985.0,0.7102,0.0873,0.0666,0.0389,0.0087,0.0016,0.0465,0.0149,0.0252,0.1612,1,18240.0,,13902.0,15703.0,18802.0,20880.0,20467.0,,,,,,485.0,,98.0,66.0,94.0,83.0,144.0,,,,,,25777.0,,11878.0,24770.0,9212.0,8733.0,10267.0,0.6496,0.2173,0.6295,,0.6437,0.4815,0.551,0.6939,0.3333,,0.5909,0.6786,0.7391,,,,,,,,,,0.8018,,0.3077,,0.3414,0.374633738,0.2515696944,0.26901566,0.6888519135,0.3101321586,0.1377145249,0.1469233989,0.1506906656,0.1900376727,0.1448545861,0.1605145414,0.1817673378,0.2438478747,0.1164725458,0.1064891847,0.0582362729,0.0299500832,0.0198237885,0.29030837,0.6898678414,72240.892617,27941.821963,13905,20705,10185,14502,13075,13954,13665,15245,16250,12023,14000,13660,14000,13760,3138,1190,1948,1007,840,1291,2283,855,1677,1461,1516,1622,2000,1138,2389,1788,601,0.8652155714,0.5571368774,22.727919632,0.28999999165534,0.4763499372,0.1004604437,0.7484303056,PS,0.3101321586,61096.588949,44787,27941.821963,,,76.3799972534179,18.9799995422363,1.41999995708465,2.54999995231628,17.6700000762939,8.90999984741211,95.2699966430664,58688.62,9.36999988555908,3.64000010490417,10.9300003051757,219.0,1796.0,52000,61767.0,826.0,521.0,447.0,866.0,930.0,46000,58700,UAH  University of Alabama Huntsville,0.3898,,0.2087,,1,0.5981,0.4019,2.0,2068.0,0.5041,,0.4908,,0.6967,,0.2024,0.3913,1191.0,11122.0,11122.0,100321016.0,87756960.0,5.0,0.5817,19518.5,53747.0,45.0,1063.0,61566.0,62253.0,54353.0,69248.0,17.0,0.0028,0.0056,0.1955,0.0559,0.0223,0.0,0.0363,0.0,0.6816,0.5419,59815.0,Public
4,100724,100500.0,1005.0,Alabama State University,Montgomery,AL,1,1,3,4,1,5,32.364317,-86.295677,10.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.966,0.9659783093151,963.0,963.0,0.0,3296.0,0.0155,0.9251,0.0121,0.0015,0.0021,0.0009,0.0118,0.0221,0.0088,0.0771,1,13527.0,,13066.0,13738.0,13505.0,14414.0,15590.0,,,,,,210.0,,115.0,46.0,21.0,12.0,16.0,,,,,,21900.0,,11068.0,19396.0,9246.0,9349.0,8071.0,0.6958,0.6976,0.2773,,0.375,0.272,0.25,0.4,0.5,,0.2,0.6667,0.5,,,,,,,,,,0.596,,0.2043,,0.7671,0.6146166134,0.107428115,0.5776286353,0.9219330855,0.3434343434,0.178514377,0.1126198083,0.052715655,0.0415335463,PS,PS,PS,PS,PS,PS,PS,PS,0.0188246097,0.3246097337,0.6565656566,34468.571812,8551.802974,17500,31000,11000,17750,17000,18500,17000,21500,18236,12000,18750,14573,17299,19303,2690,898,1792,1664,773,253,2374,316,2419,271,1690,1000,2154,536,2504,2235,269,0.8889776358,0.874600639,20.130990415,0.10999999940395,0.6134185304,0.0079872204,0.892571885,PS,0.3434343434,31684.382188,22080.5,8551.802974,,,42.6899986267089,52.3199996948242,1.40999996662139,4.09000015258789,11.8100004196167,6.76000022888183,94.5299987792968,46065.2,16.9599990844726,4.80999994277954,10.6700000762939,242.0,2070.0,30600,34502.0,1412.0,504.0,154.0,1091.0,979.0,28300,33000,,0.1365,,0.3473,,1,0.3595,0.6405,2.0,532.0,0.265,,0.25,,0.3436,,0.7829,0.8294,797.0,6050.0,7320.0,130589167.0,108202146.0,5.0,0.5817,19518.5,53747.0,37.0,655.0,32629.0,34779.0,31857.0,37898.0,14.0,0.0,0.0,0.1636,0.6308,0.014,0.0,0.0,0.0047,0.1869,0.5187,29446.0,Public
5,100751,105100.0,1051.0,The University of Alabama,Tuscaloosa,AL,1,1,3,4,1,5,33.211875,-87.545978,12.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.8006,0.80059920106524,1304.0,1304.0,0.0,31360.0,0.7336,0.1072,0.0577,0.0146,0.0036,0.0011,0.0344,0.0092,0.0386,0.0789,1,20888.0,,17942.0,19931.0,21867.0,23680.0,23931.0,,,,,,1505.0,,524.0,242.0,208.0,176.0,355.0,,,,,,31024.0,,11940.0,32300.0,13878.0,8923.0,10777.0,0.7768,0.1788,0.7276,,0.7475,0.6023,0.6683,0.7191,0.5833,0.5714,0.6679,0.7288,0.68,,,,,,,,,,0.8668,,0.6038,,0.3388,0.261546724,0.1429645542,0.2037849355,0.6078136739,0.2257126887,0.1279269603,0.1374865736,0.1316863588,0.3413533835,0.1245770147,0.1376112295,0.1414964281,0.3925303923,0.1480090158,0.1367392938,0.0728775357,0.0345604808,0.0081609838,0.2175517049,0.7742873113,101976.77516,31119.872276,17986,22750,10250,17750,18500,17750,18283,16444,19500,15750,18750,16500,18000,17967,11137,6583,4554,2770,2787,5580,9509,1628,5161,5976,6727,4410,6313,4824,9310,7979,1331,0.9107411386,0.4526315789,21.137701396,0.10000000149011,0.6152524168,0.0537056928,0.8570354458,0.0039742213,0.2257126887,91846.749624,66733.5,31119.872276,,,75.3499984741211,21.0599994659423,1.20000004768371,2.41000008583068,16.4799995422363,9.21000003814697,96.0800018310547,57928.41,10.0500001907348,3.25999999046325,10.8999996185302,700.0,6082.0,51600,59221.0,1843.0,1714.0,2525.0,3276.0,2807.0,45100,59100,,0.5482,,0.1879,,1,0.4399,0.5601,2.0,6186.0,0.5893,,0.6832,,0.7738,,0.1916,0.3578,7540.0,14426.0,14426.0,1237611651.0,1144632976.0,5.0,0.5817,19518.5,53747.0,251.0,5525.0,55448.0,59899.0,53838.0,68461.0,19.0,0.0061,0.0012,0.102,0.0607,0.0285,0.0024,0.0486,0.0061,0.7444,0.5288,47722.0,Public
6,100760,100700.0,1007.0,Central Alabama Community College,Alexander City,AL,1,1,1,2,1,5,32.92478,-85.945266,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,963.0,0.6802,0.2285,0.0322,0.0042,0.0021,0.0,0.0447,0.0052,0.0031,0.4725,1,8227.0,,7232.0,6749.0,9895.0,11020.0,11738.0,,,,,,131.0,,57.0,29.0,27.0,12.0,6.0,,,,,,14041.0,,4990.0,8740.0,3030.0,8388.0,6950.0,0.4038,0.2985,,0.2165,,,,,,,,,,0.2414,0.125,0.125,0.4,0.5,,0.4,0.0,0.0,,0.621,,0.3514,0.1508,0.6074766355,0.3056074766,0.5235531629,0.7981651376,0.5496760259,0.1757009346,0.114953271,0.0654205607,0.0364485981,0.199192463,PS,PS,PS,0.122324159,PS,PS,PS,0.0496760259,0.5,0.4503239741,36871.779273,16898.397554,5500,9766,4514,6500,5874,5000,4960,8450,5930,5500,6000,4781,5750,5282,456,114,342,230,137,89,276,180,332,124,314,142,397,59,1070,743,327,0.408411215,0.8691588785,23.071028037,0.41999998688697,0.6037383178,0.0962616822,0.6943925234,PS,0.5496760259,30767.764486,22217,16898.397554,,,71.5100021362304,26.8999996185302,0.2199999988079,1.00999999046325,7.96999979019165,4.55000019073486,98.8499984741211,43985.14,13.5500001907348,3.75999999046325,10.6800003051757,269.0,1475.0,32400,33506.0,1061.0,351.0,64.0,942.0,532.0,28600,41500,,,0.1738,,0.186,2,0.3925,0.6075,1.0,,,0.1457,,0.0,,0.3717,0.5251,0.2192,219.0,,14364.0,146977.0,144975.0,,0.6667,16473.0,31213.0,7.0,116.0,32216.0,34419.0,30641.0,41370.0,16.0,0.0227,0.0,0.0,0.0682,0.0,0.0,0.0,0.0,0.9091,0.4773,46467.0,Public
7,100812,100800.0,1008.0,Athens State University,Athens,AL,1,1,3,4,1,5,34.806793,-86.964698,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,2465.0,0.7574,0.1258,0.0503,0.0049,0.0146,0.0008,0.0325,0.0041,0.0097,0.5513,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6843.0,8776.0,9088.0,0.4638,0.4127,,,,,,,,,,,,,,,,,,,,,,,,,0.4306,0.4928385417,0.7213541667,0.3107476636,0.5631768953,0.4774964838,0.203125,0.1569010417,0.1009114583,0.0462239583,0.2079439252,0.1845794393,0.1565420561,0.1401869159,0.2012635379,0.1462093863,0.0794223827,0.0099277978,0.047116737,0.4303797468,0.5225035162,56488.670561,31522.732852,14861,18051,11883,15650,14848,13487,12000,17750,15849,12840,15000,13461,15000,13000,1806,823,983,806,614,386,604,1202,1305,501,1295,511,1431,375,1536,428,1108,0.81640625,0.720703125,30.384765625,0.61000001430511,0.705078125,0.361328125,0.2786458333,PS,0.4774964838,38479.38737,29645.5,31522.732852,,,83.8899993896484,12.2600002288818,0.64999997615814,2.40000009536743,11.8900003433227,6.17000007629394,96.9599990844726,50752.1,10.4399995803833,3.38000011444091,10.8000001907348,180.0,1443.0,42400,50273.0,729.0,514.0,199.0,985.0,457.0,38000,54100,,,,,,1,0.2929,0.7071,,374.0,,,,,,,,,0.0,,,5701551.0,4982337.0,,0.5817,19518.5,53747.0,48.0,841.0,50025.0,50999.0,45651.0,60260.0,14.0,0.0,0.0235,0.0824,0.1412,0.0235,0.0,0.0118,0.0,0.7176,0.4941,43433.0,Public
8,100830,831000.0,8310.0,Auburn University at Montgomery,Montgomery,AL,1,1,3,4,1,5,32.36736,-86.177544,7.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.9223,0.92227074235807,1051.0,1051.0,0.0,3307.0,0.4052,0.4584,0.0175,0.0287,0.0024,0.0009,0.0366,0.0454,0.0048,0.261,1,12630.0,,10873.0,12501.0,15041.0,15724.0,14069.0,,,,,,337.0,,156.0,57.0,48.0,34.0,42.0,,,,,,19771.0,,9100.0,19348.0,8348.0,7938.0,8366.0,0.6994,0.4589,0.3584,,0.3706,0.3731,0.375,0.4,0.1429,,0.2381,0.0833,,,,,,,,,,,0.7016,,0.2273,,0.488,0.4892262488,0.2272282076,0.4283903676,0.6961206897,0.38189609,0.1885406464,0.1307541626,0.110675808,0.0808031342,0.2015209125,0.1432192649,0.1292775665,0.0975918885,0.1443965517,0.088362069,0.0474137931,0.0237068966,0.0230316015,0.3588644885,0.61810391,46985.570342,24991.892241,13119,25000,8810,13000,14125,12500,12000,16502,14000,11375,13750,11585,13336,12950,2676,1013,1663,1443,742,491,2027,649,2066,610,1935,741,2118,558,2042,1578,464,0.8932419197,0.7257590597,22.199804114,0.31999999284744,0.6929480901,0.0729676787,0.7727717924,0.0048971596,0.38189609,41987.986288,29671.5,24991.892241,,,59.9700012207031,37.2099990844726,0.91000002622604,1.62000000476837,14.7200002670288,9.09000015258789,96.8499984741211,50723.81,13,3.78999996185302,10.7799997329711,244.0,1924.0,38000,44391.0,1072.0,540.0,312.0,1241.0,684.0,34500,44900,AUM||Auburn University at Montgomery|Auburn Montgomery,0.1452,,0.31,,1,0.3245,0.6755,2.0,1355.0,0.348,,0.314,,0.3977,,0.5532,0.5029,517.0,7368.0,10485.0,64217660.0,57070175.0,1.0,0.5817,19518.5,53747.0,24.0,771.0,46696.0,43662.0,41397.0,52253.0,15.0,0.0,0.0043,0.0957,0.087,0.0217,0.0,0.0826,0.0174,0.6913,0.4826,43815.0,Public
9,100858,100900.0,1009.0,Auburn University,Auburn,AL,1,1,3,4,1,5,32.599378,-85.488258,14.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.4374,0.43744118355109,1292.0,1292.0,0.0,25234.0,0.8269,0.0425,0.0395,0.0279,0.0025,0.0006,0.029,0.028,0.003,0.0907,1,24297.0,,17481.0,19356.0,23336.0,26709.0,28876.0,,,,,,1143.0,,238.0,130.0,165.0,171.0,439.0,,,,,,33650.0,,12176.0,32960.0,17158.0,8493.0,11608.0,0.8539,0.1254,0.8075,,0.8216,0.6905,0.7654,0.8113,0.5714,1.0,0.7364,0.6957,1.0,,,,,,,,,,0.9261,,0.7321,,0.2787,0.2520373683,0.0858676208,0.2028701892,0.775462963,0.1726471191,0.1208507255,0.129397734,0.1530510833,0.3446630888,0.1213307241,0.1358991085,PS,PS,0.1157407407,0.0601851852,PS,PS,0.0065614107,0.1660857084,0.8273528809,98805.666232,21278.891204,17750,21000,8750,18750,18250,16750,17562,18489,20000,15000,18500,16250,18500,17095,6774,4519,2255,1370,1574,3830,6118,656,2869,3905,3402,3372,3084,3690,5031,4599,432,0.887696283,0.4362949712,20.516795866,0.07000000029802,0.531504671,0.0222619758,0.9141323792,0.0023852117,0.1726471191,92148.626516,72031,21278.891204,,,75.9000015258789,19.7999992370605,1.64999997615814,2.89000010490417,17.9300003051757,10.8199996948242,94.9199981689453,59005.4,9.59000015258789,3.14000010490417,10.8999996185302,391.0,4303.0,56300,65337.0,1101.0,1123.0,2081.0,2116.0,2187.0,48000,63800,,0.5585,,0.1273,,1,0.4991,0.5009,2.0,6385.0,0.7067,,0.7633,,0.8347,,0.1146,0.2773,5254.0,14998.0,14998.0,993955140.0,911152148.0,5.0,0.5817,19518.5,53747.0,145.0,3905.0,60894.0,66069.0,58008.0,75376.0,20.0,0.0148,0.0041,0.1105,0.0608,0.0396,0.0,0.0461,0.0059,0.7183,0.5552,50578.0,Public
